product,brand,salary_age,category,salary_type,pet_type,기능,weight,price,product_name,crud_protein,crud_fat,crud_fiber,crud_ash,ca,p,water
4522,86,생후3개월 이상,덴탈껌,"초소형견,소형견",1,,50개,5000,덴탈헬스 플러스 딸기맛,5.09,0.29,,1.19,,,10.33
4523,86,생후3개월 이상,덴탈껌,"초소형견,소형견",1,,50개,5000,덴탈헬스 플러스 블루베리맛,5.09,0.29,,1.19,,,10.33
4524,86,생후3개월 이상,덴탈껌,"초소형견,소형견",1,,50개,5000,덴탈헬스 플러스 요거트맛,5.09,0.29,,1.19,,,10.33
4525,86,생후3개월 이상,덴탈껌,"중형견,대형견",1,,8개,5000,덴탈헬스 플러스 자이언트 치즈맛,5.09,4.51,1.51,1.5,,,20
4526,86,생후3개월 이상,덴탈껌,"중형견,대형견",1,,8개,5000,덴탈헬스 플러스 자이언트 딸기맛,5.09,4.51,1.51,1.5,,,20
4527,86,생후3개월 이상,덴탈껌,"중형견,대형견",1,,8개,5000,덴탈헬스 플러스 자이언트 민트맛,5.09,4.51,1.51,1.5,,,20
4528,86,생후3개월 이상,덴탈껌,"중형견,대형견",1,,8개,5000,덴탈헬스 플러스 자이언트 요거트맛,5.09,4.51,1.51,1.5,,,20
4529,21,생후1개월 이후,음료/유제품,"반려견, 반려묘 공용",3,,180ml*10개,25000,꼬리별 펫밀크 ,2.8,3.4,1,1,0.1,0.07,90
4530,21,생후1개월 이후,음료/유제품,"반려견, 반려묘 공용",3,,130ml*10개,23000,꼬리별 펫밀크 관절케어,2.8,3.4,1,1,0.1,0.07,90
4531,21,생후3개월이후,뼈/관절,반려견,1,,300g,15000,꼬리별 강아지 뉴트리션 트릿 관절케어,15,2,2,5,0.1,0.1,26
4532,21,생후3개월이후,기타(건강보조),반려견,1,,300g,15000,꼬리별 강아지 뉴트리션 트릿 면역케어,15,2,2,5,0.1,0.1,26
4533,21,생후3개월이후,피부/모질,반려견,1,,300g,15000,꼬리별 강아지 뉴트리션 트릿 피부케어 ,15,2,2,5,0.1,0.1,26
4534,21,생후3개월이후,뼈/관절,반려견,1,,120g,18000,꼬리별 강아지 뉴트리션 과립 관절케어,3,3,1,2,0.1,0.1,14
4535,21,생후3개월이후,기타(건강보조),반려견,1,,120g,18000,꼬리별 강아지 뉴트리션 과립 면역케어,3,3,1,2,0.1,0.1,14
4536,21,생후3개월이후,피부/모질,반려견,1,,120g,18000,꼬리별 강아지 뉴트리션 과립 피부케어 ,3,3,1,2,0.1,0.1,14
4537,21,생후3개월이후,덴탈껌,반려견,1,,500g,13000,꼬리별 강아지 츄잉껌 치즈맛,3.58,,2.01,1.1,,,14
4538,21,생후3개월이후,덴탈껌,반려견,1,,500g,13000,꼬리별 강아지 츄잉껌 블루베리맛,3.58,,2.01,1.1,,,14
4539,21,3개월 이상,육포/져키/소시지,반려견,1,,800g,16000,꼬리별 강아지 져키 바이트 소+돼지+야채 혼합맛,28,5,3,6,0.1,0.3,30
4540,21,3개월 이상,육포/져키/소시지,반려견,1,,800g,16000,꼬리별 강아지 져키 바이트 닭+오리+야채 혼합맛,28,5,3,6,0.1,0.3,30
4541,21,3개월 이상,육포/져키/소시지,반려견,1,,800g,16000,꼬리별 강아지 져키 바이트 연어+참치+야채 혼합맛,28,5,3,6,0.1,0.3,30
4542,104,3개월 이상,덴탈껌,반려견,1,,14개,18000,드림본 래틀볼츄 치킨 스몰 ,7,0.2,1.5,4,0.01,0.01,14
4543,104,3개월 이상,덴탈껌,반려견,1,,4개,4000,드림본 치킨 미니,9,0.2,4,1.5,0.01,0.01,14
4544,104,3개월 이상,덴탈껌,반려견,1,,6개,11000,드림본 치킨 스몰,9,0.2,4,1.5,0.01,0.01,14
4545,104,3개월 이상,덴탈껌,반려견,1,,16개,11000,드림본 덴탈 미니,9,0.2,1.5,4,0.01,0.01,14
4546,201,4개월 이상,육포/져키/소시지,반려견,1,,85g,6000,스니프스낵 연어&고구마 필렛 스트립,7.5,14,1,2,0.05,0.5,14
4547,201,4개월 이상,육포/져키/소시지,반려견,1,,85g,6000,스니프스낵 연어&고구마 바이트,10,10,1,1.5,0.05,0.5,13.5
4548,201,4개월 이상,육포/져키/소시지,반려견,1,,85g,6000,스니프스낵 연어&고구마 커틀렛,7.5,14,1,2,0.05,0.5,14
4549,201,4개월 이상,육포/져키/소시지,반려견,1,,43g,6000,스니프스낵 연어껍질 크랙클링,40,3,2,6,0.05,0.5,18
4550,201,4개월 이상,육포/져키/소시지,반려견,1,,57g,6000,스니프스낵 연어껍질 롤,53,20,1,9.5,0.05,0.5,9.5
4551,201,4개월 이상,육포/져키/소시지,반려견,1,,85g,6000,스니프스낵 연어껍질 스퀘어,40,3,2,6,0.05,0.5,18
4552,201,4개월 이상,비스켓/스낵,반려견,1,,85g,6000,스니프스낵 연어 커틀렛,64,14,1,2.5,0.05,0.5,10
4553,201,4개월 이상,비스켓/스낵,반려견,1,,85g,6000,스니프스낵 연어 필렛 스트립,64,14,1,2.5,0.05,0.5,10
4554,134,전연령,육포/져키/소시지,"중형견, 대형견",1,,120g,12800,맘스틱 송아지목뼈,54,14,,29,,,6
4555,134,전연령,육포/져키/소시지,"반려견, 반려묘 공용",3,,100g,12800,맘스틱 닭안심 슬라이스,85,8,,13,,,7
4556,134,전연령,육포/져키/소시지,반려견,1,,8개,12800,맘스틱 오리도가니뼈,33,28,,27,,,6
